id,name,url,category,isAffiliateLink,description
1,"Ask Coach Ken","https://askcoachken.com","Content Strategy, Coaching & Communities",false,"Communication Advice in Your Pocket! Expert Tips for Meaningful Conversations. Your Key to Lasting Relationships with proven Advice for Better Connections"
2,"Bibley","https://bibley.io/","Content Strategy, Coaching & Communities",false,"AI-powered Bible study tool! Find deeper meaning in scripture, search the meaning of your name, create outlines for sermons on any topic, memorize Bible verses, and more! There are 27 different AI tools trained on The Bible!"
3,"Brand Butler","https://brandbutler.ai/","Content Strategy, Coaching & Communities",false,"The Toolbox is more than software. Each category holds a team of agents, ready to act in unison under Banks’ command. Think of them as a fleet of drones with specialized roles, deployed the moment you need them. Together, they execute with precision while Banks orchestrates the entire system."
4,"AIXUP","https://aixup.ai/forever-plan?am_id=austin9236","CRM, Sales & Marketing Automation",true,"Qualified Leads Delivered To Your CRM Daily Start with 20 sales-ready leads per day. Scale to 100+ leads/day when you’re ready — you control volume, filters, and quality."
5,"Call Tracking Metrics","https://bit.ly/CALLTRACKING","CRM, Sales & Marketing Automation",true,"The best call tracking software for businesses"
6,"Chief Content Officer","https://chiefcontentofficer.co/cco?affiliate_id=4253853","CRM, Sales & Marketing Automation",false,"A Content Operating System Designed To Position You As The Go-To Expert, Attract A Flood Of Leads, And Turn Viewers Into Voracious Fans. That's what we deliver as your personal ""Chief Content Officer."""
7,"ChipBot","https://bit.ly/CHIPBOT","CRM, Sales & Marketing Automation",true,"The best FREE video live chat tool to add onto your website"
8,"Creator Unlock - Best YouTube Coaching Program","https://www.creatorunlock.com/a/2147522550/aBywYrq2","CRM, Sales & Marketing Automation",true,"Done For You YouTube Strategy With Jeremy Vest. I went through this program and it's how I've gained over 500,000 Youtube subscribers. Why focus all your time and money on ads and lead generation companies like everyone else? Invest in YouTube strategy and build your organic audiences like I did."
9,"Go High Level","https://www.gohighlevel.com/austinarmstrong","CRM, Sales & Marketing Automation",true,"Helps you to capture, nurture and convert more leads online into business for you. Has AI tools like AI voice calling, AI funnel building, content creation, and more! It's a crazy useful tool. Use this link and get 30 days FREE!!"
10,"Jotform","https://bit.ly/JOTFORMBOT","CRM, Sales & Marketing Automation",true,"The best form fill tool out there. Hundreds of forms that you can use to capture leads for your business!"
11,"Lead Pages","https://bit.ly/LEADPAGESTOOL","CRM, Sales & Marketing Automation",true,"Amazing landing page creator to convert more people into leads and sales! I use this tool for Google ads and building my email list. It's incredible!"
12,"Live Chat","https://livechat.com","CRM, Sales & Marketing Automation",false,"No description provided yet — edit data/products.json to add one."
13,"ManyChat","https://manychat.partnerlinks.io/yw4esxhe6rle","CRM, Sales & Marketing Automation",true,"ManyChat let's you automate sales on Instagram! It's how people are doing the ""Comment this word and I'll DM you the link!"" It let's you automatically send thousands of messages driving sales! ManyChat is a gamechanger for marketing!"
14,"Pabbly","https://bit.ly/pabblytool","CRM, Sales & Marketing Automation",true,"Easily Connect Multiple Applications and Automate your Tasks! Connect your favorite applications within minutes and say goodbye to manual work"
15,"Stan Store","https://bit.ly/STANSTORE","CRM, Sales & Marketing Automation",true,"The best link in bio tool that easily let's you monetize your social media audience and generate leads!"
16,"Zapier","https://Zapier.com","CRM, Sales & Marketing Automation",false,"No description provided yet — edit data/products.json to add one."
17,"Canva","https://bit.ly/CANVATOOL","Design, Photo & Brand Assets",true,"Create literally any design online for social media, flyers, or print on demand"
18,"FastPhoto","https://fastphoto.io/","Design, Photo & Brand Assets",false,"swap your face with amazing styles or turn your photo into professional headshots"
19,"Icons 8","https://icons8.com/upscaler","Design, Photo & Brand Assets",false,"No description provided yet — edit data/products.json to add one."
20,"My Fonts","https://www.myfonts.com/WhatTheFont/","Design, Photo & Brand Assets",false,"Upload images to identify the fonts so that you can use them for yourself!"
21,"Photopea","https://www.photopea.com/","Design, Photo & Brand Assets",false,"An online and completely free, browser based photo editor. It has similar features and tools like Photoshop."
22,"Remove BG","https://remove.bg","Design, Photo & Brand Assets",false,"It removes the background from any image so that it's just the object of focus. I love using this tool for YouTube thumbnails!"
23,"Vector Wiki","https://www.vectorwiki.com","Design, Photo & Brand Assets",false,"No description provided yet — edit data/products.json to add one."
24,"Watermark remover","https://www.watermarkremover.io/","Design, Photo & Brand Assets",false,"No description provided yet — edit data/products.json to add one."
25,"Zoom backgrounds","https://zoomscape.ai/","Design, Photo & Brand Assets",false,"No description provided yet — edit data/products.json to add one."
26,"Behiiv","https://bit.ly/beehiivtool","Email, Newsletter & Community",true,"This is the BEST new software to create your own newsletter! everything you need to grow a lucrative newsletter you can do in this one platform!"
27,"Flodesk","https://flodesk.com","Email, Newsletter & Community",false,"No description provided yet — edit data/products.json to add one."
28,"GetResponse","https://www.getresponse.com/","Email, Newsletter & Community",false,"All-in-one email marketing and marketing-automation platform with AI content tools built in. Affiliate program pays 40–60% recurring for 12 months. (⚠️ High-demand pick found via live research — this links to the official site; join their affiliate/referral program and swap in your own tracked link before you publish, see README 'Keep the catalog fresh with in-demand tools.')"
29,"IContact","https://bit.ly/iCONTACT","Email, Newsletter & Community",true,"My preferred Email platform! I just switched from Mailchimp to Icontact because it's better and MUCH cheaper. There are tons of integrations, custom templates, and solutions to grow your email list and business!"
30,"Mailchimp","https://bit.ly/MAILCHIMPTOOL","Email, Newsletter & Community",true,"My preferred email newsletter tool! I use mailchimp to host my email list, and send automated email drip campaigns. If you're building an email list, I definitely recommend this!"
31,"Descript","https://bit.ly/DESCRIPTTOOL","Faceless Video & Content Automation",true,"All-in-one audio & video editing, as easy as a doc. This tool is a MUST if you make videos or podcasts!"
32,"ElevenLabs","https://elevenlabs.io/","Faceless Video & Content Automation",false,"The most widely used AI voice generator and voice-cloning platform — narration, dubbing, and realistic text-to-speech for creators and apps. Huge and growing demand across content and dev tooling. (⚠️ High-demand pick found via live research — this links to the official site; join their affiliate/referral program and swap in your own tracked link before you publish, see README 'Keep the catalog fresh with in-demand tools.')"
33,"FLIZ","https://bit.ly/FLIZ","Faceless Video & Content Automation",true,"Make social media ready videos from ANY url in 1 click! Turn your blog articles into videos!"
34,"Heygen","https://bit.ly/heygentool","Faceless Video & Content Automation",true,"Create a deep fake version of yourself so that you can create unlimited social media videos at scale! It's affordable and the best on the market!"
35,"InVideo AI","https://invideo.io/","Faceless Video & Content Automation",false,"Type a prompt and InVideo AI generates a full narrated video with visuals, voiceover, and music. One of the fastest-growing faceless video tools in 2026, with affiliate payouts up to 50% of the first payment. (⚠️ High-demand pick found via live research — this links to the official site; join their affiliate/referral program and swap in your own tracked link before you publish, see README 'Keep the catalog fresh with in-demand tools.')"
36,"Munch","https://bit.ly/TRYMUNCH","Faceless Video & Content Automation",true,"Turn ANY YouTube video into viral shorts instantly! Extract the most engaging and impactful clips from your long-form videos using Munch, the #1 AI video repurposing platform"
37,"Nova AI","https://bit.ly/novaaitool","Faceless Video & Content Automation",true,"Create stellar videos, cut, trim and collide your clips. Add subtitles, translate and more. Entirely online, no installation is needed."
38,"OpusClip","https://www.opus.pro/","Faceless Video & Content Automation",false,"The category leader for turning long videos into viral short clips automatically, with AI-scored 'virality' ranking on every clip. Extremely high demand among YouTubers and podcasters right now. (⚠️ High-demand pick found via live research — this links to the official site; join their affiliate/referral program and swap in your own tracked link before you publish, see README 'Keep the catalog fresh with in-demand tools.')"
39,"Panzoid","https://panzoid.com","Faceless Video & Content Automation",false,"A free tool to create epic YouTube intro's. There's a little bit of a learning curve, but this is by far the most useful custom free way to create an amazing Youtube intro for your channel!"
40,"Pictory","https://bit.ly/PICTORYTOOL","Faceless Video & Content Automation",true,"Uses artifical intelligence to create videos from your blog articles!"
41,"Render Forest","https://bit.ly/RENDERFORESTTOOL","Faceless Video & Content Automation",true,"High quality videos, animations, mockups, logos, presentations, SMM graphics, and a professional website."
42,"Repurpose IO","https://bit.ly/REPURPOSETOOL","Faceless Video & Content Automation",true,"Automatically post your social media videos to other platforms to save you a TON of time!"
43,"Script Storm","https://scriptstorm.ai/","Faceless Video & Content Automation",false,"If you don't know how to hold attention in your videos, This tool will turn any topic into a proven viral video script format. It follows the S.T.A.R.T. video framework that I have personally used to generate billions of views on social media in over a dozen different industries."
44,"Submagic","https://bit.ly/submagictool","Faceless Video & Content Automation",true,"Create viral shorts in seconds with AI 🚀 Make your short-form videos more captivating with Captions, B-Rolls, Zooms and Sound Effects."
45,"Syllaby","https://syllaby.io/","Faceless Video & Content Automation",false,"I made the best faceless video tool on the internet for you! If you've been wanting to do faceless automation, Syllaby does everything! From finding viral topics in any industry, writing scripts, creating shorts and longform content, you can create, schedule, and publish 30 days of faceless videos in less than 10 minutes!"
46,"Synthesia","https://bit.ly/SYNTHESIA","Faceless Video & Content Automation",true,"Synthesia is a web-based platform for creating videos with AI avatars and voices. Thousands of companies use it to create videos at scale"
47,"Taja","https://bit.ly/tajatool","Faceless Video & Content Automation",true,"Taja is an AI-Powered metadata specialist for content creators with YouTube channels. Taja analyzes your audience, understands what their interests are, and provides you with the metadata you should include that will save you immense time and maximize reach in your long-form videos and shorts."
48,"Tella","https://www.tella.com/?via=austin","Faceless Video & Content Automation",true,"Bring your work to life with video Screen and camera recording for making an impression. Fully customisable, instantly shareable, all in your browser. It's like Loom, but WAY better designs!"
49,"wave.video","https://bit.ly/WAVEVIDEO","Faceless Video & Content Automation",true,"Live Streaming Studio, Video Editor, Thumbnail Maker, Video Hosting, Video Recording, and Stock Library combined in one platform."
50,"Beacons","https://bit.ly/BEACONSTOOL","Link-in-Bio & Monetization Pages",true,"Another great link in bio tool that I've used for years and love"
51,"Air horn","https://airhorner.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
52,"alternativeto","https://alternativeto.net","More Handy AI & Web Tools",false,"Find alternative websites and software to basically any tool that you want to use"
53,"Archive","https://archive.org","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
54,"Axiom","https://axiom.ai","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
55,"Black Magic Design","https://www.blackmagicdesign.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
56,"Build AI","https://www.buildai.space/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
57,"Built With","https://builtwith.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
58,"Capitol Trades","https://www.capitoltrades.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
59,"Chef GPT","https://www.chefgpt.xyz/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
60,"Class Central","https://www.classcentral.com/report/free-certificates/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
61,"Copykat","https://copykat.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
62,"Down for everyone or just me","https://downforeveryoneorjustme.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
63,"Duck Duck Go","https://duckduckgo.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
64,"Fast Reply","https://fastreply.io/","More Handy AI & Web Tools",false,"The Best AI Tweet & Linkedin Reply Tool Engage your social media following faster than ever before."
65,"Feed Blitz","https://www.feedblitz.com/","More Handy AI & Web Tools",false,"This tool automatically turns your blogs into emails for your subscriber list"
66,"Flick","https://flick.tech","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
67,"Flippa","https://flippa.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
68,"Free audio enhancer","https://podcast.adobe.com/enhance","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
69,"Get Human","https://www.gethuman.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
70,"Get Yarn","https://getyarn.io/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
71,"Go File","https://gofile.io/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
72,"Go Last Minute","https://golastminute.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
73,"Google My Activity","https://myactivity.google.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
74,"Grow With Google","https://grow.google","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
75,"Hack The Menu","https://hackthemenu.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
76,"Hunter","https://hunter.io","More Handy AI & Web Tools",false,"This tool lets you find email addresses from any website!"
77,"Hype Fury","https://bit.ly/HYPEFURY","More Handy AI & Web Tools",true,"Automate your Twitter growth with this really cool Twitter tool!"
78,"I fix it","https://www.ifixit.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
79,"Ideas AI","https://ideasai.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
80,"Insight Voice","https://bit.ly/insightvoice","More Handy AI & Web Tools",true,"Connect with your customers in minutes a day In a competitive market, standing out is imperative. Insight Voice streamlines your content marketing, enabling you to effortlessly establish your brand in just minutes a day."
81,"Insta Finsta","https://instafinsta.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
82,"Kartiv","https://www.kartiv.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
83,"Looka","https://looka.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
84,"Magic Eraser","https://www.magiceraser.io/","More Handy AI & Web Tools",false,"Erase background and annoying objects from photos for free!"
85,"Marketing Examples","https://marketingexamples.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
86,"Media IO","https://www.media.io/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
87,"Midomi","https://www.midomi.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
88,"My Character","https://mycharacter.ai/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
89,"Ninja Essays","https://www.ninjaessays.com/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
90,"Noba Project","https://Nobaproject.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
91,"Promo","https://promo.com/tools/image-resizer","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
92,"Quora","https://Quora.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
93,"Reverso","https://documents.reverso.net","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
94,"SaaS AI","https://bit.ly/SaaSAI","More Handy AI & Web Tools",true,"The fastest way to launch your AI SaaS SaaS AI: The Only Next.js Starter Kit Tailored for AI Web-Apps. Designed to streamline your development process, it eliminates weeks of work, empowering you to concentrate on delivering the features that matter most."
95,"Similar Web","https://similarweb.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
96,"Sleepy Time","http://sleepyti.me/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
97,"Smmry","https://smmry.com/","More Handy AI & Web Tools",false,"Paste an article in here and it will sumarize it for you!"
98,"Social Blade","https://socialblade.com","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
99,"Startups FYI","https://www.startups.fyi/","More Handy AI & Web Tools",false,"No description provided yet — edit data/products.json to add one."
